epoch,duration,loss,accuracy,tp,tn,fp,fn,precision,recall,auc,val_loss,val_accuracy,val_tp,val_tn,val_fp,val_fn,val_prosision,val_recall,val_auc
1, 410s 143ms/step ,7.3229,0.0152,7,13411045,794,91230,0.0087,7.67E+05,0.6488,4.6806,0.0185,0.00E+00,1669626,0.00E+00,11358,0.00E+00,0.00E+00,0.69
2, 435s 152ms/step ,4.6399,0.0236,6,13411830,9,91231,0.4,6.58E+05,0.707,4.6184,0.0242,0.00E+00,1669626,0.00E+00,11358,0.00E+00,0.00E+00,0.7167
3, 393s 138ms/step ,4.5565,0.0309,20,13411811,28,91217,0.4167,2.19E+04,0.734,4.5557,0.0311,1,1669624,2,11357,0.3333,8.80E+05,0.7333
4, 384s 134ms/step ,4.4954,0.0363,30,13411800,39,91207,0.4348,3.29E+04,0.7483,4.48,0.0407,0.00E+00,1669600,26,11358,0.00E+00,0.00E+00,0.7523
5, 376s 131ms/step ,4.4137,0.0438,40,13411765,74,91197,0.3509,4.38E+04,0.7658,4.4416,0.0422,6,1669612,14,11352,0.3,5.28E+04,0.7599
6, 380s 133ms/step ,4.3264,0.0513,102,13411712,127,91135,0.4454,0.0011,0.7818,4.4037,0.0519,8,1669614,12,11350,0.4,7.04E+04,0.7655
7, 364s 128ms/step ,4.2322,0.0599,203,13411603,236,91034,0.4624,0.0022,0.7979,4.4172,0.0496,11,1669604,22,11347,0.3333,9.68E+04,0.7645
8, 347s 122ms/step ,4.1289,0.0682,393,13411490,349,90844,0.5296,0.0043,0.814,4.4696,0.0502,20,1669578,48,11338,0.2941,0.0018,0.7583
9, 393s 138ms/step ,4.012,0.0814,685,13411283,556,90552,0.552,0.0075,0.8309,4.5298,0.0491,15,1669571,55,11343,0.2143,0.0013,0.755
10, 419s 147ms/step ,3.8783,0.0935,1034,13411063,776,90203,0.5713,0.0113,0.8477,4.7258,0.0455,31,1669511,115,11327,0.2123,0.0027,0.7367
11, 422s 148ms/step ,3.7455,0.1077,1473,13410844,995,89764,0.5968,0.0161,0.8634,4.7744,0.0444,28,1669491,135,11330,0.1718,0.0025,0.7331
12, 393s 138ms/step ,3.6012,0.1226,1999,13410609,1230,89238,0.6191,0.0219,0.8784,5.0914,0.045,34,1669462,164,11324,0.1717,0.003,0.7127
13, 389s 136ms/step ,3.4525,0.143,2614,13410252,1587,88623,0.6222,0.0287,0.8928,5.3398,0.0401,38,1669414,212,11320,0.152,0.0033,0.6992
14, 392s 137ms/step ,3.2929,0.162,3496,13409906,1933,87741,0.6439,0.0383,0.9051,5.7067,0.044,64,1669266,360,11294,0.1509,0.0056,0.6917
15, 379s 133ms/step ,3.138,0.1841,4293,13409380,2459,86944,0.6358,0.0471,0.9164,6.0702,0.0414,67,1669190,436,11291,0.1332,0.0059,0.6813
16, 392s 137ms/step ,3.0024,0.2075,5333,13409118,2721,85904,0.6622,0.0585,0.9246,6.3834,0.0415,84,1669105,521,11274,0.1388,0.0074,0.672
17, 385s 135ms/step ,2.8802,0.2272,6321,13408622,3217,84916,0.6627,0.0693,0.932,6.6555,0.0402,90,1668957,669,11268,0.1186,0.0079,0.6691
18, 382s 134ms/step ,2.75,0.2518,7595,13408089,3750,83642,0.6695,0.0832,0.9388,7.2009,0.0387,87,1668885,741,11271,0.1051,0.0077,0.655
19, 374s 131ms/step ,2.6404,0.2723,8823,13407583,4256,82414,0.6746,0.0967,0.9437,7.857,0.0363,110,1668611,1015,11248,0.0978,0.0097,0.6466
20, 372s 130ms/step ,2.5253,0.2958,10205,13407058,4781,81032,0.681,0.1119,0.9487,7.8828,0.0352,99,1668661,965,11259,0.093,0.0087,0.6464
21, 367s 129ms/step ,2.4182,0.3202,11896,13406516,5323,79341,0.6909,0.1304,0.9533,8.4599,0.0351,109,1668380,1246,11249,0.0804,0.0096,0.6369
