epoch,duration,loss,accuracy,tp,tn,fp,fn,precision,recall,auc,val_loss,val_accuracy,val_tp,val_tn,val_fp,val_fn,val_prosision,val_recall,val_auc
1, 77s 767ms/step ,43.4455,0.045,34,101262,728,2880,0.0446,0.0117,0.5461,3.5955,6.04E-02,0.00E+00,19704,1,5.63E+02,0.00E+00,0.00E+00,0.5999
2, 66s 683ms/step ,3.3718,0.0975,15,101951,39,2899,0.2778,0.0051,0.69,3.7126,0.135,4,19703,2,559,0.6667,0.0071,0.6566
3, 66s 680ms/step ,3.0764,0.1469,79,101905,85,2835,0.4817,0.0271,0.773,3.5249,0.2309,36,19698,7,527,0.8372,0.0639,0.6936
4, 68s 703ms/step ,2.8413,0.1977,192,101889,101,2722,0.6553,0.0659,0.8187,3.2781,0.2789,74,19691,14,489,0.8409,0.1314,0.7666
5, 66s 681ms/step ,2.557,0.2982,394,101857,133,2520,0.7476,0.1352,0.8545,3.1997,0.3215,101,19669,36,462,0.7372,0.1794,0.756
6, 65s 674ms/step ,2.3583,0.338,546,101826,164,2368,0.769,0.1874,0.8805,3.2486,0.3357,116,19684,21,447,0.8467,0.206,0.7741
7, 71s 734ms/step ,2.1063,0.4073,755,101819,171,2159,0.8153,0.2591,0.9051,3.5133,0.3464,132,19663,42,431,0.7586,0.2345,0.7678
8, 67s 687ms/step ,2.036,0.4334,883,101798,192,2031,0.8214,0.303,0.9123,3.4948,0.3943,154,19652,53,409,0.744,0.2735,0.7871
9, 66s 684ms/step ,1.8864,0.4842,992,101791,199,1922,0.8329,0.3404,0.9239,3.68,0.405,167,19631,74,396,0.6929,0.2966,0.7778
10, 66s 687ms/step ,1.7264,0.513,1137,101791,199,1777,0.851,0.3902,0.9376,3.1583,0.4512,178,19634,71,385,0.7149,0.3162,0.817
11, 66s 683ms/step ,1.5914,0.5426,1218,101808,182,1696,0.87,0.418,0.9465,3.0457,0.4742,203,19623,82,360,0.7123,0.3606,0.8385
12, 65s 669ms/step ,1.5297,0.5587,1308,101794,196,1606,0.8697,0.4489,0.9498,2.9024,0.4885,218,19633,72,345,0.7517,0.3872,0.8364
13, 67s 689ms/step ,1.3658,0.606,1455,101823,167,1459,0.897,0.4993,0.9594,3.3019,0.492,231,19617,88,332,0.7241,0.4103,0.8253
14, 69s 706ms/step ,1.3593,0.6259,1510,101797,193,1404,0.8867,0.5182,0.9573,3.4584,0.4671,219,19611,94,344,0.6997,0.389,0.8132
15, 64s 660ms/step ,1.2644,0.6513,1611,101791,199,1303,0.8901,0.5528,0.9634,3.9986,0.4796,234,19603,102,329,0.6964,0.4156,0.7862
16, 68s 705ms/step ,1.1915,0.651,1641,101766,224,1273,0.8799,0.5631,0.9684,4.7097,0.4813,230,19608,97,333,0.7034,0.4085,0.7683
17, 67s 690ms/step ,1.1997,0.6716,1697,101772,218,1217,0.8862,0.5824,0.9662,4.2642,0.5098,253,19595,110,310,0.697,0.4494,0.7968
18, 64s 663ms/step ,1.1477,0.6685,1707,101790,200,1207,0.8951,0.5858,0.9713,3.5759,0.5044,245,19607,98,318,0.7143,0.4352,0.8148
